T [K],P [bar],y H2S [mol/mol],dY H2S [mol/mol],Q H2S [mmol/g],dQ H2S [mmol/g],Q CH4 [mmol/g],dQ CH4 [mmol/g],dH H2S [kJ/mol],d dH H2S [kJ/mol],dH CH4 [kJ/mol],d dH CH4 [kJ/mol],fugacity CH4 [Pa],fugacity H2S [Pa],activity coefficient CH4,activity coefficient H2S
343,10.0,0.0151,0.0001,0.2,0.001,1.124,0.002,-29.0,0.2,-19.92,0.04,975103.2744252512,14236.316386376398,0.9900530758709017,0.9428024096938011
343,10.0,0.0192,0.0001,0.248,0.001,1.102,0.001,-28.9,0.1,-20.01,0.03,971042.5427480503,18103.423864423006,0.9900515321656304,0.942886659605365
343,10.0,0.0231,0.0001,0.298,0.001,1.079,0.001,-29.0,0.1,-20.06,0.04,967179.5727199535,21782.52570083111,0.9900497212815574,0.9429664805554593
343,10.0,0.027000000000000003,0.0,0.3483,0.0002,1.056,0.002,-29.0,0.1,-20.0,0.1,963316.2919149265,25462.241735252624,0.9900475764798834,0.9430459901945416
343,10.0,0.0313,0.0001,0.396,0.001,1.036,0.002,-29.2,0.1,-20.05,0.02,959056.4216436056,29520.072093756335,0.9900448246553171,0.9431332937302342
343,10.0,0.0867,0.0005,0.97,0.003,0.78,0.001,-30.0,0.1,-20.8,0.1,904142.4034608224,81864.23690740153,0.9899730684997509,0.944224185783178
343,10.0,0.1463,0.0004,1.4,0.003,0.586,0.001,-30.8,0.1,-21.2,0.1,845009.8940832004,138301.39116035856,0.9898206560655972,0.9453273490113365
343,10.0,0.2215,0.0003,1.774,0.001,0.419,0.001,-31.4,0.1,-21.8,0.1,770339.1119457926,209675.15623515385,0.9895171637068626,0.9466147008359089
343,10.0,0.3161,0.0002,2.074,0.001,0.28800000000000003,0.001,-31.9,0.1,-22.09,0.05,676349.3079143139,299684.2280836276,0.9889593623546045,0.9480677889390308
343,10.0,0.4289,0.0002,2.3040000000000003,0.001,0.187,0.001,-32.3,0.04,-22.5,0.1,564268.6964458781,407265.0048124523,0.988038340826262,0.9495570175156267
343,10.0,0.5576,0.0002,2.472,0.001,0.1171,0.0004,-32.5,0.1,-22.7,0.1,436493.2864851499,530239.2746809563,0.9866484775884943,0.9509312673618298
343,10.0,0.6977,0.0001,2.595,0.001,0.0658,0.0004,-32.8,0.1,-22.7,0.2,297682.8146374437,664232.6667354767,0.9847264791182391,0.9520319144839855
343,10.0,0.8458600000000001,4e-05,2.69,0.001,0.027999999999999997,0.0001,-33.0,0.1,-22.9,0.2,151401.35731376952,805889.7413609043,0.9822327579717761,0.9527460115869106
343,50.0,0.00243,2e-05,0.0599,0.0001,2.097,0.001,-28.5,0.1,-20.06,0.04,4744725.791674324,9038.054612506701,0.9512567121453781,0.7438728076137203
343,50.0,0.00488,2.9999999999999997e-05,0.1198,0.0002,2.055,0.001,-28.7,0.2,-20.2,0.02,4733068.197742039,18155.409558026655,0.9512557676947584,0.7440741622142072
343,50.0,0.0075,0.0001,0.1789,0.0004,2.012,0.001,-29.0,0.2,-20.17,0.05,4720598.25894536,27910.837521734065,0.9512540572182085,0.7442890005795751
343,50.0,0.0101,0.0001,0.2385,0.0003,1.9680000000000002,0.001,-29.1,0.2,-20.16,0.04,4708220.012427124,37597.33585631338,0.9512516440907414,0.7445017001250175
343,50.0,0.0126,0.0001,0.2979,0.0003,1.925,0.001,-28.9,0.1,-20.21,0.03,4696314.592062534,46916.46224170486,0.9512486514204038,0.744705749868331
343,50.0,0.0154,0.0001,0.35700000000000004,0.001,1.882,0.001,-29.2,0.1,-20.25,0.04,4682976.757527794,57359.89791314146,0.9512445170684123,0.7449337391317072
343,50.0,0.0183,0.0001,0.414,0.001,1.84,0.001,-29.2,0.1,-20.3,0.1,4669158.415208578,68182.98743634831,0.9512393633917853,0.745169261599435
343,50.0,0.021,0.0002,0.474,0.001,1.798,0.001,-29.4,0.1,-20.37,0.02,4656289.293563722,78265.73824523445,0.9512337678373283,0.745387983287947
343,50.0,0.0614,0.0004,1.1520000000000001,0.002,1.306,0.002,-29.8,0.1,-20.8,0.1,4463316.305076584,229819.00908587684,0.9510582367518824,0.7485961208009018
343,50.0,0.1101,0.0002,1.6569999999999998,0.001,0.941,0.001,-30.3,0.1,-21.4,0.1,4229774.738500736,414141.5507812322,0.9506179882010868,0.7523007280313028
343,50.0,0.1794,0.0002,2.081,0.001,0.637,0.001,-31.0,0.1,-21.8,0.1,3896050.0362489764,679262.7923860186,0.9495613054469842,0.7572606381115033
343,50.0,0.2746,0.0002,2.4,0.001,0.41200000000000003,0.001,-31.2,0.1,-21.96,0.05,3435816.686986997,1048236.7764820578,0.947288857730079,0.7634645130969102
343,50.0,0.3939,0.0002,2.6239999999999997,0.001,0.259,0.001,-30.83,0.04,-22.0,0.1,2858094.701124538,1516942.951154272,0.943109949224398,0.7702172892380158
343,50.0,0.5315,0.0003,2.7760000000000002,0.002,0.157,0.001,-30.9,0.1,-22.3,0.1,2193694.8712352514,2063699.7841704178,0.9364759322242269,0.7765568331779559
343,50.0,0.6808,0.0001,2.885,0.001,0.0887,0.0004,-30.5,0.1,-22.1,0.2,1479693.8057825833,2660689.587876201,0.9271264447259293,0.7816361891528205
343,50.0,0.8379,0.0001,2.966,0.001,0.0387,0.0002,-30.3,0.1,-23.1,0.2,741562.5205293724,3288420.039826111,0.9149445040461102,0.7849194509669677
298,0.001,0.0,0.0,,,0.0006,1e-05,,,,,99.99982567685703,0.0,0.9999982567685702,
298,0.01,0.0,0.0,,,0.006,0.0001,,,,,999.9825678224506,0.0,0.9999825678224507,
298,0.1,0.0,0.0,,,0.057999999999999996,0.001,,,,,9998.256918985078,0.0,0.9998256918985078,
298,0.3,0.0,0.0,,,0.168,0.003,,,,,29984.315005205095,0.0,0.9994771668401699,
298,0.5,0.0,0.0,,,0.27399999999999997,0.005,,,,,49956.43816363626,0.0,0.9991287632727252,
298,1.0,0.0,0.0,,,0.5,0.01,,,,,99825.82855988853,0.0,0.9982582855988853,
298,1.5,0.0,0.0,,,0.7,0.01,,,,,149608.28494757478,0.0,0.9973885663171651,
298,2.0,0.0,0.0,,,0.85,0.01,,,,,199303.9209533651,0.0,0.9965196047668256,
298,5.0,0.0,0.0,,,1.46,0.01,,,,,495660.8554474322,0.0,0.9913217108948644,
298,10.0,0.0,0.0,,,1.88,0.01,,,,,982718.7344915213,0.0,0.9827187344915213,
298,12.0,0.0,0.0,,,1.98,0.01,,,,,1175158.181870935,0.0,0.9792984848924458,
298,15.0,0.0,0.0,,,2.09,0.01,,,,,1461285.6258068562,0.0,0.9741904172045708,
298,18.0,0.0,0.0,,,2.18,0.01,,,,,1744396.188195273,0.0,0.9691089934418183,
298,20.0,0.0,0.0,,,2.22,0.01,,,,,1931472.222241234,0.0,0.965736111120617,
298,25.0,0.0,0.0,,,2.33,0.01,,,,,2393387.9348726072,0.0,0.9573551739490429,
298,30.0,0.0,0.0,,,2.39,0.01,,,,,2847140.906919647,0.0,0.9490469689732157,
343,0.001,0.0,0.0,,,0.000217,1e-06,,,,,99.99990005807724,0.0,0.9999990005807724,
343,0.01,0.0,0.0,,,0.00218,1e-06,,,,,999.9900058526717,0.0,0.9999900058526717,
343,0.1,0.0,0.0,,,0.0217,0.0001,,,,,9999.000630213317,0.0,0.9999000630213316,
343,0.3,0.0,0.0,,,0.0639,0.0003,,,,,29991.00657075588,0.0,0.9997002190251959,
343,0.5,0.0,0.0,,,0.106,0.001,,,,,49975.02074853373,0.0,0.9995004149706745,
343,1.0,0.0,0.0,,,0.204,0.001,,,,,99900.10795265506,0.0,0.9990010795265506,
343,1.5,0.0,0.0,,,0.297,0.001,,,,,149775.2990314409,0.0,0.9985019935429392,
343,2.0,0.0,0.0,,,0.379,0.001,,,,,199600.63137904272,0.0,0.9980031568952136,
343,5.0,0.0,0.0,,,0.7879999999999999,0.004,,,,,497507.6830456021,0.0,0.9950153660912042,
343,10.0,0.0,0.0,,,1.213,0.003,,,,,990055.5787576132,0.0,0.9900555787576132,
343,12.0,0.0,0.0,,,1.327,0.003,,,,,1185694.311722179,0.0,0.9880785931018158,
343,15.0,0.0,0.0,,,1.472,0.003,,,,,1477680.7712222184,0.0,0.9851205141481456,
343,18.0,0.0,0.0,,,1.585,0.002,,,,,1767908.3237986022,0.0,0.9821712909992235,
343,20.0,0.0,0.0,,,1.643,0.003,,,,,1960420.098058145,0.0,0.9802100490290725,
343,25.0,0.0,0.0,,,1.7790000000000001,0.002,,,,,2438310.1519523496,0.0,0.9753240607809398,
343,30.0,0.0,0.0,,,1.8769999999999998,0.003,,,,,2911387.2821865203,0.0,0.9704624273955068,
343,40.0,0.0,0.0,,,2.032,0.002,,,,,3843246.9608703065,0.0,0.9608117402175766,
343,50.0,0.0,0.0,,,2.141,0.002,,,,,4756285.117691112,0.0,0.9512570235382224,
298,0.001,1.0,0.0,0.01,0.0003,,,,,,,0.0,99.99925611964946,,0.9999925611964946
298,0.01,1.0,0.0,0.098,0.001,,,,,,,0.0,999.9256144550077,,0.9999256144550077
298,0.1,1.0,0.0,0.9,0.01,,,,,,,0.0,9992.563934951111,,0.9992563934951112
298,0.3,1.0,0.0,1.91,0.01,,,,,,,0.0,29933.125167781745,,0.9977708389260582
298,0.5,1.0,0.0,2.28,0.01,,,,,,,0.0,49814.37464358243,,0.9962874928716486
298,1.0,1.0,0.0,2.61,0.01,,,,,,,0.0,99258.87684524755,,0.9925887684524755
298,1.5,1.0,0.0,2.742,0.004,,,,,,,0.0,148335.56633611114,,0.9889037755740742
298,2.0,1.0,0.0,2.81,0.005,,,,,,,0.0,197046.4926516004,,0.985232463258002
298,3.0,1.0,0.0,2.9,0.01,,,,,,,0.0,293379.2032033977,,0.9779306773446589
298,4.0,1.0,0.0,2.95,0.01,,,,,,,0.0,388273.20266297203,,0.9706830066574301
298,5.0,1.0,0.0,2.983,0.004,,,,,,,0.0,481744.52506792225,,0.9634890501358445
298,6.0,1.0,0.0,3.01,0.003,,,,,,,0.0,573809.04581507,,0.9563484096917834
298,7.0,1.0,0.0,3.03,0.004,,,,,,,0.0,664482.4831312154,,0.9492606901874506
298,8.0,1.0,0.0,3.05,0.004,,,,,,,0.0,753780.3995308068,,0.9422254994135085
298,9.0,1.0,0.0,3.0639999999999996,0.004,,,,,,,0.0,841718.2032606357,,0.935242448067373
298,10.0,1.0,0.0,3.0789999999999997,0.003,,,,,,,0.0,928311.1497316719,,0.928311149731672
343,0.001,1.0,0.0,0.0022600000000000003,2e-05,,,,,,,0.0,99.99951856616649,,0.9999951856616649
343,0.01,1.0,0.0,0.0226,0.0002,,,,,,,0.0,999.9518576596396,,0.9999518576596396
343,0.1,1.0,0.0,0.221,0.003,,,,,,,0.0,9995.18680878829,,0.9995186808788291
343,0.3,1.0,0.0,0.62,0.01,,,,,,,0.0,29956.702125878106,,0.9985567375292702
343,0.5,1.0,0.0,0.96,0.01,,,,,,,0.0,49879.785998015745,,0.9975957199603149
343,1.0,1.0,0.0,1.54,0.01,,,,,,,0.0,99519.72204831392,,0.9951972204831392
343,1.5,1.0,0.0,1.87,0.01,,,,,,,0.0,148920.67315055724,,0.9928044876703815
343,2.0,1.0,0.0,2.074,0.004,,,,,,,0.0,198083.5015314732,,0.9904175076573659
343,3.0,1.0,0.0,2.3209999999999997,0.004,,,,,,,0.0,295698.22522153467,,0.9856607507384488
343,4.0,1.0,0.0,2.46,0.01,,,,,,,0.0,392370.7357896914,,0.9809268394742285
343,5.0,1.0,0.0,2.55,0.01,,,,,,,0.0,488107.8320710314,,0.9762156641420627
343,6.0,1.0,0.0,2.62,0.01,,,,,,,0.0,582916.2693277695,,0.9715271155462826
343,7.0,1.0,0.0,2.665,0.003,,,,,,,0.0,676802.7595109635,,0.966861085015662
343,8.0,1.0,0.0,2.7039999999999997,0.004,,,,,,,0.0,769773.9715207191,,0.962217464400899
343,9.0,1.0,0.0,2.737,0.004,,,,,,,0.0,861836.5314648978,,0.9575961460721086
343,10.0,1.0,0.0,2.762,0.003,,,,,,,0.0,952997.0229163286,,0.9529970229163286
343,20.0,1.0,0.0,2.905,0.004,,,,,,,0.0,1816406.6513747708,,0.9082033256873854
343,30.0,1.0,0.0,2.969,0.002,,,,,,,0.0,2596545.196748361,,0.865515065582787
343,40.0,1.0,0.0,3.005,0.002,,,,,,,0.0,3299333.1231585075,,0.8248332807896269
343,50.0,1.0,0.0,3.03,0.003,,,,,,,0.0,3930318.304974113,,0.7860636609948226
